kodewil_susenaspre2022,total_cat,filled_susenas,filled_ski,empty_both,susenas_perc,ski_perc,sus_ski_rat,sus_ski_dev
1101,249,236,224,15,0.947791164658635,0.899598393574297,1.05357142857143,0.0481927710843374
1102,254,245,241,10,0.964566929133858,0.948818897637795,1.01659751037344,0.015748031496063
1103,260,233,253,4,0.896153846153846,0.973076923076923,0.920948616600791,-0.0769230769230769
1104,256,233,218,8,0.91015625,0.8515625,1.06880733944954,0.05859375
1105,259,237,246,5,0.915057915057915,0.94980694980695,0.963414634146341,-0.0347490347490348
1106,259,239,234,5,0.922779922779923,0.903474903474903,1.02136752136752,0.0193050193050194
1107,261,255,247,3,0.977011494252874,0.946360153256705,1.03238866396761,0.0306513409961686
1108,262,253,252,2,0.965648854961832,0.961832061068702,1.00396825396825,0.00381679389312972
1109,259,243,248,5,0.938223938223938,0.957528957528958,0.979838709677419,-0.0193050193050193
1110,263,251,244,1,0.954372623574145,0.927756653992395,1.02868852459016,0.0266159695817491
1111,257,245,246,7,0.953307392996109,0.957198443579767,0.995934959349593,-0.00389105058365757
1112,257,230,249,7,0.894941634241245,0.968871595330739,0.923694779116466,-0.0739299610894941
1113,245,226,226,19,0.922448979591837,0.922448979591837,1,0
1114,261,256,253,3,0.980842911877395,0.969348659003831,1.01185770750988,0.0114942528735632
1115,258,197,251,6,0.763565891472868,0.972868217054264,0.784860557768924,-0.209302325581395
1116,250,212,235,14,0.848,0.94,0.902127659574468,-0.092
1117,251,233,235,13,0.928286852589641,0.936254980079681,0.991489361702128,-0.00796812749003983
1118,261,205,253,3,0.78544061302682,0.969348659003831,0.810276679841897,-0.183908045977012
1171,161,131,160,103,0.813664596273292,0.993788819875776,0.81875,-0.180124223602484
1172,259,241,236,5,0.930501930501931,0.911196911196911,1.02118644067797,0.0193050193050194
1173,245,239,182,19,0.975510204081633,0.742857142857143,1.31318681318681,0.23265306122449
1174,254,247,211,10,0.97244094488189,0.830708661417323,1.17061611374408,0.141732283464567
1175,253,234,238,11,0.924901185770751,0.940711462450593,0.983193277310924,-0.0158102766798419
1201,218,207,166,46,0.94954128440367,0.761467889908257,1.24698795180723,0.188073394495413
1202,260,253,250,4,0.973076923076923,0.961538461538461,1.012,0.0115384615384615
1203,242,201,211,22,0.830578512396694,0.871900826446281,0.95260663507109,-0.0413223140495868
1204,262,257,254,2,0.980916030534351,0.969465648854962,1.01181102362205,0.0114503816793894
1205,257,241,229,7,0.937743190661479,0.891050583657588,1.05240174672489,0.046692607003891
1206,260,251,244,4,0.965384615384615,0.938461538461539,1.02868852459016,0.0269230769230769
1207,260,258,249,4,0.992307692307692,0.957692307692308,1.03614457831325,0.0346153846153846
1208,264,259,252,0,0.981060606060606,0.954545454545455,1.02777777777778,0.0265151515151515
1209,263,262,252,1,0.996197718631179,0.958174904942966,1.03968253968254,0.0380228136882129
1210,261,259,228,3,0.992337164750958,0.873563218390805,1.1359649122807,0.118773946360153
1211,258,253,247,6,0.98062015503876,0.957364341085271,1.02429149797571,0.0232558139534883
1212,261,255,228,3,0.977011494252874,0.873563218390805,1.11842105263158,0.103448275862069
1213,263,259,260,1,0.984790874524715,0.988593155893536,0.996153846153846,-0.00380228136882133
1214,237,209,215,27,0.881856540084388,0.907172995780591,0.972093023255814,-0.0253164556962026
1215,248,237,216,16,0.955645161290323,0.870967741935484,1.09722222222222,0.0846774193548388
1216,243,227,201,21,0.934156378600823,0.82716049382716,1.12935323383085,0.106995884773663
1217,251,205,240,13,0.816733067729084,0.956175298804781,0.854166666666667,-0.139442231075697
1218,261,256,254,3,0.980842911877395,0.973180076628353,1.00787401574803,0.0076628352490421
1219,259,256,237,5,0.988416988416988,0.915057915057915,1.08016877637131,0.0733590733590734
1220,239,201,229,25,0.841004184100419,0.9581589958159,0.877729257641921,-0.117154811715481
1221,253,232,219,11,0.91699604743083,0.865612648221344,1.05936073059361,0.0513833992094862
1222,256,248,240,8,0.96875,0.9375,1.03333333333333,0.03125
1223,262,255,249,2,0.973282442748092,0.950381679389313,1.02409638554217,0.0229007633587787
1224,220,210,166,44,0.954545454545455,0.754545454545455,1.26506024096386,0.2
1225,132,132,131,132,1,0.992424242424242,1.00763358778626,0.00757575757575757
1271,132,132,129,132,1,0.977272727272727,1.02325581395349,0.0227272727272727
1272,130,130,128,134,1,0.984615384615385,1.015625,0.0153846153846153
